,Unnamed: 0,id,click,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
0,8,8.65475818060423E+017,1,2,0,533,721,1,1589,48,0,21809,53708,237,1,0,0.814714702031507,0.221238938053097,0.029880478087649,0.809145880574452,0.666666666666667,0.149501661129568,0,0.200787401574803
1,9,1.83766243393195E+019,1,2,0,639,798,3,1589,48,0,21809,104527,2106,1,0,0.832791316467458,0.199115044247788,0.229083665338645,0.825018896447468,0.666666666666667,0.001107419712071,0,0.086614173228347
2,2,9.00186562408715E+018,0,2,0,211,1617,1,1589,48,0,21809,17141,3545,1,0,0.647337078177134,0.221238938053097,0.029880478087649,0.608465608465608,0,0.001107419712071,0.998364073457092,0.307086614173228
3,3,1.14430035797423E+019,0,2,0,925,1317,5,18,13,13,21147,92249,2878,1,0,0.647294843096676,0.221238938053097,0.029880478087649,0.608465608465608,0,0.001107419712071,0,0.307086614173228
4,11,1.08623875547349E+019,1,2,0,639,798,3,1589,48,0,21809,141904,2517,1,2,0.729737720150357,0.199115044247788,0.229083665338645,0.711262282690854,0.666666666666667,0.003322259136213,0.998364073457092,0.125984251968504
5,13,5.07331815316588E+017,1,2,0,639,798,3,1589,48,0,21809,125917,693,1,0,0.832791316467458,0.199115044247788,0.229083665338645,0.825018896447468,0.666666666666667,0.001107419712071,0.998334147971551,0.086614173228347
6,6,1.29601106177281E+019,0,2,1,1563,845,17,1589,48,0,21809,39644,1564,1,0,0.713223803691346,0.221238938053097,0.029880478087649,0.665154950869237,1,0.003322259136213,0,0.086614173228347
7,7,1.77231532734026E+019,0,2,0,211,1617,1,1589,48,0,21809,105149,446,1,0,0.647379313257592,0.221238938053097,0.029880478087649,0.608465608465608,0,0.001107419712071,0.998364073457092,0.307086614173228
8,0,8.17463757320551E+018,0,2,0,925,1317,5,1444,13,13,32497,3849,3490,1,0,0.685897706635131,0.221238938053097,0.029880478087649,0.661753590325019,1,0.003322259136213,0,0.086614173228347
9,1,1.49199392283908E+019,0,2,0,925,1317,5,1616,13,3,21809,34863,411,1,2,0.90353507623432,0.221238938053097,0.029880478087649,0.904761904761905,0,0.001107419712071,0,0.614173228346457
10,10,7.43088884302181E+016,1,2,0,533,721,1,1589,48,0,21809,21025,1166,1,0,0.814714702031507,0.221238938053097,0.029880478087649,0.809145880574452,0.666666666666667,0.149501661129568,0,0.200787401574803
11,4,8.84537891598796E+018,0,2,1,1581,1110,3,1589,48,0,21809,125346,2684,1,0,0.819233855640495,0.221238938053097,0.029880478087649,0.799319727891156,0,0.357696566998893,0.998264321838622,0.18503937007874
12,5,1.13045651816567E+019,0,2,0,925,1317,5,779,86,17,26801,4277,446,1,0,0.768931874815222,0.221238938053097,0.029880478087649,0.752834467120181,0,0.29125138427464,0,0.669291338582677
13,5,1.13045651816567E+019,0,2,0,925,1317,5,779,86,17,26801,4277,446,1,0,0.768931874815222,0.221238938053097,0.029880478087649,0.752834467120181,0,0.29125138427464,0,0.669291338582677
14,14,8.58454824022394E+018,1,2,0,533,721,1,1589,48,0,21809,77895,2016,1,0,0.814714702031507,0.221238938053097,0.029880478087649,0.809145880574452,0.666666666666667,0.149501661129568,0.998144619896458,0.200787401574803
15,15,3.29797422044085E+017,1,2,0,639,798,3,1589,48,0,21809,32733,445,1,0,0.843476791823288,0.199115044247788,0.229083665338645,0.838624338624339,0.666666666666667,0.003322259136213,0,0.086614173228347
